;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66905.0,0.0,0.0,0.0,3,BOX ELDER
2,30002,11.699999999999998,65.0,5.555555555555557,0.0,0.0,0.0,0.0,2.5000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.6000000000000003,66905.0,0.0,0.0,0.0,3,BOX ELDER
3,30003,12.699999999999998,54.0,4.251968503937008,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.7,51492.0,0.0,0.0,0.0,3,BOX ELDER
4,30004,2.9,10.0,3.4482758620689657,0.0,0.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,51492.0,0.0,0.0,0.0,3,BOX ELDER
5,30005,50.9,156.1,3.0667976424361494,2.1,0.0,0.0,2.1,12.7,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,3.8,6.8,68948.0,0.0,0.0,0.0,3,BOX ELDER
6,30006,3.9,13.0,3.333333333333333,4.4,0.0,4.4,0.0,5.300000000000001,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.5,51492.0,0.0,0.0,0.0,3,BOX ELDER
7,30007,44.0,131.1,2.9795454545454545,23.8,1.0,17.4,5.400000000000001,120.3,1.0,0.0,0.0,17.4,0.0,0.0,0.0,5.400000000000001,86.3,0.0,4.3,5.900000000000001,51492.0,0.0,0.0,0.0,3,BOX ELDER
8,30008,42.1,141.1,3.351543942992874,41.9,14.300000000000002,0.0,27.599999999999994,52.2,14.300000000000002,0.0,0.0,0.0,25.899999999999995,0.0,0.0,1.7,0.0,0.0,4.7,5.599999999999999,71055.0,0.0,0.0,0.0,3,BOX ELDER
9,30009,10.800000000000002,12.0,1.111111111111111,50.4,0.0,50.4,0.0,54.8,0.0,0.0,0.0,50.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.3999999999999997,51492.0,0.0,0.0,0.0,3,BOX ELDER
10,30010,16.6,57.0,3.433734939759036,52.6,0.0,52.6,0.0,58.2,0.0,0.0,0.0,52.6,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.2,51492.0,0.0,0.0,0.0,3,BOX ELDER
11,30011,2.9,9.0,3.103448275862069,0.0,0.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,71342.0,0.0,0.0,0.0,3,BOX ELDER
12,30012,12.699999999999998,45.0,3.543307086614174,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.7,71342.0,0.0,0.0,0.0,3,BOX ELDER
13,30013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
14,30014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
15,30015,1.0,3.0,3.0,176.9,0.0,171.5,5.400000000000001,203.9,0.0,0.0,71.3,100.2,0.0,0.0,0.0,5.400000000000001,19.6,0.0,7.3,0.1,66905.0,0.0,0.0,0.0,3,BOX ELDER
16,30016,1.0,3.0,3.0,66.9,0.0,48.4,18.5,70.0,0.0,0.0,0.4000000000000001,48.0,0.0,0.0,0.0,18.5,0.0,0.0,3.0,0.1,68948.0,0.0,0.0,0.0,3,BOX ELDER
17,30017,3.9,22.0,5.641025641025641,0.0,0.0,0.0,0.0,0.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.5,71342.0,0.0,0.0,0.0,3,BOX ELDER
18,30018,0.0,0.0,0.0,485.9,0.0,485.9,0.0,505.5,0.0,0.0,330.4,155.5,0.0,0.0,0.0,0.0,0.0,0.0,19.6,0.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
19,30019,156.6,564.4,3.604086845466156,17.8,11.1,6.7,0.0,50.7,11.1,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,11.9,21.0,68948.0,0.0,0.0,0.0,3,BOX ELDER
20,30020,136.1,366.2,2.690668626010287,36.5,9.6,1.1,25.8,65.8,9.6,0.0,0.0,1.1,0.0,0.0,0.0,25.8,0.0,0.0,11.1,18.2,79483.0,0.0,0.0,0.0,3,BOX ELDER
